,ARGENTINA,AUSTRIA,AUSTRALIA,BELGIUM,BRAZIL,CANADA,SWITZERLAND,CHINA,CZECH-REPUBLIC,GERMANY,DENMARK,SPAIN,FINLAND,FRANCE,UNITED-KINGDOM,HONG-KONG,INDONESIA,IRELAND,INDIA,ITALY,JAPAN,SOUTH-KOREA,LUXEMBOURG,MEXICO,MALAYSIA,NETHERLANDS,NORWAY,NEW-ZEALAND,PERU,PHILIPPINES,POLAND,PORTUGAL,ROMANIA,RUSSIA,SWEDEN,SINGAPORE,THAILAND,TAIWAN,SOUTH-AFRICA
Actual,89.4,70.4,45.1,98.6,75.79,89.7,41,50.5,30.8,59.8,33.2,95.5,59.4,98.1,80.7,38.4,29.8,58.8,69.62,134.8,236.6,36.6,22.1,45.5,51.8,48.6,40.6,19,27.5,41.5,46,117.7,35.2,12.2,35.1,126.3,41.8,30.9,62.2
Previous,86,74,41.5,99.8,76.53,90.1,41,46.8,32.6,61.9,33.9,97.6,59.6,98.1,82.4,37,28.7,63.6,68.3,134.8,238.2,36.3,21,46,50.7,52.4,39.4,19.6,25.8,41.8,48.8,122,34.7,13.5,38.8,112.2,41.2,30.8,56.7
Highest,166.7,84.9,45.1,133.1,76.53,100.2,59.1,50.5,44.9,82.4,58.1,100.4,63.6,98.3,82.9,38.4,87.43,119.9,83.23,135.3,238.2,39.9,23.7,48.2,80.74,73.1,53.7,54.8,49,74.9,56,131.5,39.2,92.1,72.4,126.3,57.8,34,62.2
Lowest,34.5,56.1,9.7,74.1,51.27,44.9,25.1,20.4,11.6,54.9,27.3,16.6,6.1,20.7,21.7,13.7,22.96,23.6,47.94,90.5,50.6,8.24,7.4,17.9,31.8,43,28.7,4.4,20,41.5,36.5,50.3,6.6,6.5,35.1,67.4,15.2,11.19,27.8
Dates,1997 - 2019,1988 - 2019,1989 - 2019,1980 - 2019,2006 - 2019,1980 - 2018,1982 - 2019,1995 - 2018,1995 - 2019,1995 - 2019,1999 - 2019,1980 - 2019,1975 - 2019,1980 - 2019,1975 - 2019,1988 - 2016,2000 - 2018,1980 - 2019,1980 - 2019,1988 - 2019,1980 - 2019,1990 - 2018,1995 - 2019,1990 - 2019,1990 - 2018,1995 - 2019,1980 - 2019,1972 - 2019,2000 - 2019,1990 - 2019,1995 - 2019,1990 - 2019,1995 - 2019,1999 - 2018,1994 - 2019,1993 - 2019,1996 - 2018,1992 - 2018,2000 - 2019
2019,89.07,70.39,45.10,98.49,75.78,,37.13,,30.86,59.85,33.31,95.30,59.39,98.02,80.65,,,58.78,69.58,134.74,236.78,,22.07,45.59,,48.57,40.61,18.95,27.56,41.50,45.98,117.67,35.22,,35.10,126.30,,,62.20
2018,85.69,73.97,41.42,99.63,76.53,89.71,37.13,50.50,32.60,61.96,33.93,97.42,59.67,98.02,82.34,,30.03,63.75,68.33,134.74,238.20,36.67,21.01,46.09,51.80,52.41,39.34,19.58,25.82,41.87,48.82,121.93,34.72,12.16,38.78,112.28,41.85,30.85,56.66
2017,56.44,78.28,41.07,101.61,73.76,90.27,39.20,46.78,34.71,65.31,35.89,98.70,61.36,98.30,82.90,,28.90,68.02,68.87,134.00,237.49,36.30,22.28,46.09,50.74,56.87,37.74,21.69,25.45,42.12,50.59,126.18,35.09,13.57,40.70,110.59,41.32,30.77,53.10
2016,53.06,82.90,40.54,104.73,69.82,91.98,38.17,44.18,36.82,69.27,37.24,99.12,63.32,98.02,79.81,38.40,28.05,74.06,68.16,134.74,236.07,39.90,20.09,48.20,52.87,61.83,37.21,24.01,24.59,42.12,54.32,131.50,37.33,12.87,42.28,111.43,40.80,31.20,51.54
2015,52.50,84.90,37.74,105.02,65.55,91.41,39.50,41.09,40.05,72.12,39.82,99.12,63.60,95.47,80.37,37.02,26.92,76.90,68.51,135.30,231.80,39.53,22.00,44.10,54.57,64.55,33.38,24.64,24.09,44.73,51.30,131.15,37.83,13.57,43.86,103.30,44.48,31.55,49.26
