year,lnme,lnbm,z_score,return
2004-06,h,h,h,-0.38581447107240197
2004-06,h,h,m,-0.21741946739620882
2004-06,h,h,l,-0.24668175533716116
2004-06,h,m,h,-0.2567850987534828
2004-06,h,m,m,-0.14935593553115356
2004-06,h,m,l,-0.21273944995733707
2004-06,h,l,h,-0.17018732218567328
2004-06,h,l,m,-0.1546421276431622
2004-06,h,l,l,-0.15586152681990584
2004-06,m,h,h,-0.3294156235111104
2004-06,m,h,m,-0.21019512993206962
2004-06,m,h,l,-0.21553933404481412
2004-06,m,m,h,-0.2004267952189352
2004-06,m,m,m,-0.22716382596158666
2004-06,m,m,l,-0.19647852431160284
2004-06,m,l,h,-0.25225963512476707
2004-06,m,l,m,-0.16455593563270302
2004-06,m,l,l,-0.18264981224458343
2004-06,l,h,h,-0.27724143808139773
2004-06,l,h,m,-0.25332867838486334
2004-06,l,h,l,-0.22401414349054388
2004-06,l,m,h,-0.25849369959145446
2004-06,l,m,m,-0.20017594424691956
2004-06,l,m,l,-0.20127690004395238
2004-06,l,l,h,-0.18699968267511322
2004-06,l,l,m,-0.24463200716144382
2004-06,l,l,l,-0.2095012059581587
2004-09,h,h,h,0.048709375008559146
2004-09,h,h,m,0.07377287891743212
2004-09,h,h,l,0.05388337964162628
2004-09,h,m,h,0.048529815896273275
2004-09,h,m,m,0.06764130036908111
2004-09,h,m,l,0.09514536207246727
2004-09,h,l,h,0.08634537391910188
2004-09,h,l,m,0.009100317205267083
2004-09,h,l,l,-0.10294500357559733
2004-09,m,h,h,-0.055025028676006844
2004-09,m,h,m,-0.0075810514869800154
2004-09,m,h,l,0.048137676564798865
2004-09,m,m,h,-0.0463932548536199
2004-09,m,m,m,-0.005524178908777725
2004-09,m,m,l,-0.03987265082181567
2004-09,m,l,h,-0.013884926563824377
2004-09,m,l,m,-0.025051483231407077
2004-09,m,l,l,-0.03423522893353232
2004-09,l,h,h,-0.06215352066716075
2004-09,l,h,m,-0.043322606671346214
2004-09,l,h,l,0.01998755378839447
2004-09,l,m,h,-0.08901843925188864
2004-09,l,m,m,-0.08418031236124551
2004-09,l,m,l,-0.061837615526698884
2004-09,l,l,h,-0.09375582705061694
2004-09,l,l,m,-0.06337532154134126
2004-09,l,l,l,-0.13040925027243355
2004-12,h,h,h,-0.09328029519460906
2004-12,h,h,m,-0.11710914523300833
2004-12,h,h,l,-0.07057118729889275
2004-12,h,m,h,-0.09503919248984256
2004-12,h,m,m,-0.06625032708018344
2004-12,h,m,l,-0.04923303095841877
2004-12,h,l,h,-0.06838473884704112
2004-12,h,l,m,-0.10162113915490847
2004-12,h,l,l,-0.026108059283055964
2004-12,m,h,h,-0.07859463479912875
2004-12,m,h,m,-0.11383960997937377
2004-12,m,h,l,-0.07989787441412373
2004-12,m,m,h,-0.10529670007436474
2004-12,m,m,m,-0.10751651975431636
2004-12,m,m,l,-0.118507676963251
2004-12,m,l,h,-0.05302017616713385
2004-12,m,l,m,-0.08369423134947418
2004-12,m,l,l,-0.07654872261579021
2004-12,l,h,h,-0.198058592540879
2004-12,l,h,m,-0.10067117173732909
2004-12,l,h,l,-0.07194688048352864
2004-12,l,m,h,-0.09146805938561059
2004-12,l,m,m,-0.0839311218676299
2004-12,l,m,l,-0.14096970367638295
2004-12,l,l,h,-0.07664444348459806
2004-12,l,l,m,-0.0951049934678931
2004-12,l,l,l,-0.11076851269688885
2005-03,h,h,h,-0.030643942856382025
2005-03,h,h,m,-0.10597201629680018
2005-03,h,h,l,-0.10952840943627293
2005-03,h,m,h,-0.039251196665291956
2005-03,h,m,m,-0.05985304693099396
2005-03,h,m,l,-0.07287001816947752
2005-03,h,l,h,0.016060582315321825
2005-03,h,l,m,-0.06907464320015622
2005-03,h,l,l,0.015041340136114075
2005-03,m,h,h,-0.1416072481072038
2005-03,m,h,m,-0.08539003547168238
2005-03,m,h,l,-0.09595266818924465
2005-03,m,m,h,-0.12953223701901484
2005-03,m,m,m,-0.09607767013730373
2005-03,m,m,l,-0.11016279991272
2005-03,m,l,h,-0.05938506008531332
2005-03,m,l,m,-0.10305855030193152
2005-03,m,l,l,-0.09349581978818973
2005-03,l,h,h,-0.0855847785181127
2005-03,l,h,m,-0.07680596666988677
2005-03,l,h,l,-0.06829354985698219
2005-03,l,m,h,-0.09879471917268906
2005-03,l,m,m,-0.12098995910306304
2005-03,l,m,l,-0.09111836317573913
2005-03,l,l,h,-0.06655606665763864
2005-03,l,l,m,-0.09166770117401761
2005-03,l,l,l,-0.05882636532785727
2005-06,h,h,h,-0.09127443379378847
2005-06,h,h,m,-0.031358916907968444
2005-06,h,h,l,0.0054411050636792415
2005-06,h,m,h,-0.07618644067251977
2005-06,h,m,m,-0.04523195460438136
2005-06,h,m,l,-0.1101314763250365
2005-06,h,l,h,-0.07232884719674532
2005-06,h,l,m,-0.08509076928291548
2005-06,h,l,l,-0.0484083372257664
2005-06,m,h,h,-0.10652277832043654
2005-06,m,h,m,-0.10036092590461354
2005-06,m,h,l,-0.05502395043651918
2005-06,m,m,h,-0.10836180149176866
2005-06,m,m,m,-0.103630737824505
2005-06,m,m,l,-0.03830909006972816
2005-06,m,l,h,-0.05786811621318292
2005-06,m,l,m,-0.10683405664300455
2005-06,m,l,l,-0.10511719295576415
2005-06,l,h,h,-0.15218694840485622
2005-06,l,h,m,-0.0934207351010717
2005-06,l,h,l,-0.04406716589195898
2005-06,l,m,h,-0.11641557152585007
2005-06,l,m,m,-0.08452027698671523
2005-06,l,m,l,-0.12222258155329718
2005-06,l,l,h,-0.11425269419454633
2005-06,l,l,m,-0.11222113616325982
2005-06,l,l,l,-0.10241739791365227
2005-09,h,h,h,0.014519470205021864
2005-09,h,h,m,0.049380645069761774
2005-09,h,h,l,0.04213783730241468
2005-09,h,m,h,0.06045604234949188
2005-09,h,m,m,0.15540151305995176
2005-09,h,m,l,0.07401556853642441
2005-09,h,l,h,0.10519645891389134
2005-09,h,l,m,0.08864192992510561
2005-09,h,l,l,0.09257343616035299
2005-09,m,h,h,0.10344133262081341
2005-09,m,h,m,0.06282154113955406
2005-09,m,h,l,0.09463557683830998
2005-09,m,m,h,0.06685479779656464
2005-09,m,m,m,0.12327450457200353
2005-09,m,m,l,0.13619314363248541
2005-09,m,l,h,0.16298820042808382
2005-09,m,l,m,0.11322925772018802
2005-09,m,l,l,0.13786726716315773
2005-09,l,h,h,0.12881409696789947
2005-09,l,h,m,0.1128919269509217
2005-09,l,h,l,0.15915263878213906
2005-09,l,m,h,0.10866326744459143
2005-09,l,m,m,0.12123409240423397
2005-09,l,m,l,0.1747184169312297
2005-09,l,l,h,0.1270056222449795
2005-09,l,l,m,0.1431871083610508
2005-09,l,l,l,0.19044551149535932
2005-12,h,h,h,-0.03588949954472557
2005-12,h,h,m,-0.0028898048115155676
2005-12,h,h,l,0.03817846085316673
2005-12,h,m,h,0.017129634021554412
2005-12,h,m,m,0.0708000036378784
2005-12,h,m,l,-0.010153641580039409
2005-12,h,l,h,0.031773582084943866
2005-12,h,l,m,0.030835816817689002
2005-12,h,l,l,-0.033455801129897676
2005-12,m,h,h,-0.051449083396405054
2005-12,m,h,m,-0.019102165895926816
2005-12,m,h,l,-0.026259058078021785
2005-12,m,m,h,-0.03096165512119155
2005-12,m,m,m,-0.00824535075215941
2005-12,m,m,l,-0.004581571795544957
2005-12,m,l,h,0.03958172723408104
2005-12,m,l,m,-0.041348286549742125
2005-12,m,l,l,-0.059766758620636656
2005-12,l,h,h,-0.06546791362337459
2005-12,l,h,m,-0.04855699713210077
2005-12,l,h,l,-0.03334339292568029
2005-12,l,m,h,-0.02970351374788391
2005-12,l,m,m,-0.026159156203751217
2005-12,l,m,l,-0.03491626395085415
2005-12,l,l,h,-0.008782922053415597
2005-12,l,l,m,-0.03050404909255577
2005-12,l,l,l,-0.04937308534052029
2006-03,h,h,h,0.19853794068020844
2006-03,h,h,m,0.15896504295808722
2006-03,h,h,l,0.07520160887886602
2006-03,h,m,h,0.13291601456602414
2006-03,h,m,m,0.2036178103241519
2006-03,h,m,l,0.1828298897781954
2006-03,h,l,h,0.24115035890655936
2006-03,h,l,m,0.15257102876481451
2006-03,h,l,l,0.025219644856013097
2006-03,m,h,h,0.20733265900920395
2006-03,m,h,m,0.22163346857923488
2006-03,m,h,l,0.15376229744240338
2006-03,m,m,h,0.19132068128668325
2006-03,m,m,m,0.13097524025851098
2006-03,m,m,l,0.14079774774690118
2006-03,m,l,h,0.1047271315007695
2006-03,m,l,m,0.11463032950565197
2006-03,m,l,l,0.1393612427866141
2006-03,l,h,h,0.1345067789906223
2006-03,l,h,m,0.15481283416109115
2006-03,l,h,l,0.14575637910245573
2006-03,l,m,h,0.07045772152236338
2006-03,l,m,m,0.10370779280671215
2006-03,l,m,l,0.12814900792024034
2006-03,l,l,h,0.11764566054692976
2006-03,l,l,m,0.06104608917835978
2006-03,l,l,l,0.06574775428940256
2006-06,h,h,h,0.44738663378257304
2006-06,h,h,m,0.3331196235308234
2006-06,h,h,l,0.35786689648363695
2006-06,h,m,h,0.3998754241376521
2006-06,h,m,m,0.349555289368634
2006-06,h,m,l,0.3849396782507414
2006-06,h,l,h,0.4771247285567692
2006-06,h,l,m,0.5089532143574351
2006-06,h,l,l,0.3266529698416119
2006-06,m,h,h,0.5962473209899061
2006-06,m,h,m,0.513301070332445
2006-06,m,h,l,0.5012874570261384
2006-06,m,m,h,0.4748786453090526
