指标名称,定期存款利率:1年(整存整取)(月)
2001-01,2.25 
2001-02,2.25 
2001-03,2.25 
2001-04,2.25 
2001-05,2.25 
2001-06,2.25 
2001-07,2.25 
2001-08,2.25 
2001-09,2.25 
2001-10,2.25 
2001-11,2.25 
2001-12,2.25 
2002-01,2.25 
2002-02,1.98 
2002-03,1.98 
2002-04,1.98 
2002-05,1.98 
2002-06,1.98 
2002-07,1.98 
2002-08,1.98 
2002-09,1.98 
2002-10,1.98 
2002-11,1.98 
2002-12,1.98 
2003-01,1.98 
2003-02,1.98 
2003-03,1.98 
2003-04,1.98 
2003-05,1.98 
2003-06,1.98 
2003-07,1.98 
2003-08,1.98 
2003-09,1.98 
2003-10,1.98 
2003-11,1.98 
2003-12,1.98 
2004-01,1.98 
2004-02,1.98 
2004-03,1.98 
2004-04,1.98 
2004-05,1.98 
2004-06,1.98 
2004-07,1.98 
2004-08,1.98 
2004-09,1.98 
2004-10,2.25 
2004-11,2.25 
2004-12,2.25 
2005-01,2.25 
2005-02,2.25 
2005-03,2.25 
2005-04,2.25 
2005-05,2.25 
2005-06,2.25 
2005-07,2.25 
2005-08,2.25 
2005-09,2.25 
2005-10,2.25 
2005-11,2.25 
2005-12,2.25 
2006-01,2.25 
2006-02,2.25 
2006-03,2.25 
2006-04,2.25 
2006-05,2.25 
2006-06,2.25 
2006-07,2.25 
2006-08,2.52 
2006-09,2.52 
2006-10,2.52 
2006-11,2.52 
2006-12,2.52 
2007-01,2.52 
2007-02,2.52 
2007-03,2.79 
2007-04,2.79 
2007-05,3.06 
2007-06,3.06 
2007-07,3.33 
2007-08,3.60 
2007-09,3.87 
2007-10,3.87 
2007-11,3.87 
2007-12,4.14 
2008-01,4.14 
2008-02,4.14 
2008-03,4.14 
2008-04,4.14 
2008-05,4.14 
2008-06,4.14 
2008-07,4.14 
2008-08,4.14 
2008-09,4.14 
2008-10,3.60 
2008-11,2.52 
2008-12,2.25 
2009-01,2.25 
2009-02,2.25 
2009-03,2.25 
2009-04,2.25 
2009-05,2.25 
2009-06,2.25 
2009-07,2.25 
2009-08,2.25 
2009-09,2.25 
2009-10,2.25 
2009-11,2.25 
2009-12,2.25 
2010-01,2.25 
2010-02,2.25 
2010-03,2.25 
2010-04,2.25 
2010-05,2.25 
2010-06,2.25 
2010-07,2.25 
2010-08,2.25 
2010-09,2.25 
2010-10,2.50 
2010-11,2.50 
2010-12,2.75 
2011-01,2.75 
2011-02,3.00 
2011-03,3.00 
2011-04,3.25 
2011-05,3.25 
2011-06,3.25 
2011-07,3.50 
2011-08,3.50 
2011-09,3.50 
2011-10,3.50 
2011-11,3.50 
2011-12,3.50 
2012-01,3.50 
2012-02,3.50 
2012-03,3.50 
2012-04,3.50 
2012-05,3.50 
2012-06,3.25 
2012-07,3.00 
2012-08,3.00 
2012-09,3.00 
2012-10,3.00 
2012-11,3.00 
2012-12,3.00 
2013-01,3.00 
2013-02,3.00 
2013-03,3.00 
2013-04,3.00 
2013-05,3.00 
2013-06,3.00 
2013-07,3.00 
2013-08,3.00 
2013-09,3.00 
2013-10,3.00 
2013-11,3.00 
2013-12,3.00 
2014-01,3.00 
2014-02,3.00 
2014-03,3.00 
2014-04,3.00 
2014-05,3.00 
2014-06,3.00 
2014-07,3.00 
2014-08,3.00 
2014-09,3.00 
2014-10,3.00 
2014-11,2.75 
2014-12,2.75 
2015-01,2.75 
2015-02,2.75 
2015-03,2.50 
2015-04,2.50 
2015-05,2.25 
2015-06,2.00 
2015-07,2.00 
2015-08,1.75 
2015-09,1.75 
2015-10,1.50 
2015-11,1.50 
2015-12,1.50 
2016-01,1.50 
2016-02,1.50 
2016-03,1.50 
2016-04,1.50 
2016-05,1.50 
2016-06,1.50 
2016-07,1.50 
2016-08,1.50 
2016-09,1.50 
2016-10,1.50 
2016-11,1.50 
2016-12,1.50 
2017-01,1.50 
2017-02,1.50 
2017-03,1.50 
2017-04,1.50 
2017-05,1.50 
2017-06,1.50 
2017-07,1.50 
2017-08,1.50 
2017-09,1.50 
2017-10,1.50 
2017-11,1.50 
2017-12,1.50 
2018-01,1.50 
2018-02,1.50 
2018-03,1.50 
2018-04,1.50 
2018-05,1.50 
2018-06,1.50 
2018-07,1.50 
2018-08,1.50 
2018-09,1.50 
2018-10,1.50 
2018-11,1.50 
2018-12,1.50 
2019-01,1.50 
2019-02,1.50 
2019-03,1.50 
2019-04,1.50 
2019-05,1.50 
2019-06,1.50 
2019-07,1.50 
2019-08,1.50 
2019-09,1.50 
2019-10,1.50 
2019-11,1.50 
2019-12,1.50 
,
,
