,RTRF,RMRF,SMB,HML,MOM
2001-01-19,0,-0.032553234234961294,-0.005048369875222822,0.020448879464285717,-0.0009468035714285738
2001-02-28,0,-0.08210868276183561,-0.006858203208556152,0.010192982142857167,0.005339252976190488
2001-03-30,0,0.05400775007295585,0.002771817290552591,-0.013741308035714259,-0.0003543154761904669
2001-04-30,0,-0.027089688409445957,0.00355347147950089,-0.032841091517857135,0.0007214315476190483
2001-05-31,0,0.014984421680733516,0.011892309269162205,-0.023860116071428572,0.005333072916666676
2001-06-29,0,-0.016501496874174605,0.0008085802139037412,-0.00043962723214285073,-0.0054848556547619064
2001-07-31,0,-0.15792295266013925,-0.0036418119429590234,-0.016794745535714223,0.005896427083333376
2001-08-31,0,-0.05738431444436724,0.0003883110516933952,-0.018921361607142865,0.007913063988095242
2001-09-28,0,-0.07574380608729618,-0.010670265597147968,-0.00044299330357141733,-0.010302273809523801
2001-10-31,0,-0.07104481382014663,-0.0114791595365419,0.002585075892857125,-0.002197885416666659
2001-11-30,0,0.01841163283446675,0.004815303030303048,0.006013156249999993,-0.017622998511904762
2001-12-31,0,-0.08818947153215877,-0.008674047237076639,-0.005918341517857133,0.005264258928571411
2002-01-31,0,-0.1349914556481772,-0.019599764705882355,-0.01295575000000003,0.014594241071428543
2002-02-28,0,0.01002251484224685,0.005766855614973254,-0.0018579397321428727,-0.01551272470238094
2002-03-29,0,0.048397863275113015,0.005176610516934022,-0.011382796875000016,-0.015131236607142847
2002-04-30,0,0.021584082167802873,0.003069806595365412,-0.0031831227678571316,-0.007598749999999998
2002-05-31,0,-0.10586026523757448,-0.0034240632798573944,-0.012203287946428571,-0.004089312500000008
2002-06-28,0,0.1133458302719961,-0.01404280748663102,0.026434618303571408,-0.009334748511904797
2002-07-31,0,-0.06044895902958532,0.0018720142602495645,-0.012487060267857137,-0.0009545610119047657
2002-08-30,0,-0.012425595571168917,0.001733740641711227,-0.008408488839285706,-0.0014805684523809537
2002-09-27,0,-0.07578759039596701,-0.0028337424242424153,-0.008577220982142855,0.0071326904761904895
2002-10-31,0,-0.07163833244955584,-0.005049621212121208,-0.0073206406250000185,0.002162516369047607
2002-11-29,0,-0.08697203022560514,-0.012427439393939406,-0.005203995535714326,0.010605662202380977
2002-12-31,0,-0.07426896118709099,-0.0005301345811051543,-0.020468520089285725,0.0010294508928571488
2003-01-29,0,0.07981891514778465,0.0035319848484848806,0.0034749508928571694,-0.019193837797619014
2003-02-28,0,-0.009793900589836828,0.0016929064171123025,-0.0014493616071428593,-0.0008294360119047635
2003-03-31,0,-0.03487909062879842,-0.007550629233511595,-0.00042132142857143285,0.01140736904761905
2003-04-30,0,-0.033513816273359545,-0.023919253119429558,0.0037960111607142854,0.024493092261904763
2003-05-30,0,0.024140377229108043,-0.007476757575757573,-0.0023747254464285585,-0.0037181666666666804
2003-06-30,0,-0.08719957381439798,-0.0016514696969696897,-0.011490234375000012,-0.0027754568452381207
2003-07-31,0,-0.036246175095763736,-0.009831826203208544,-0.010423042410714274,0.008123785714285712
2003-08-29,0,-0.04999313913097977,0.001679938502673785,-0.015490151785714288,-0.013415568452380953
2003-09-30,0,-0.06383815581937742,-0.006294723707664904,-0.003219500000000002,0.0020692663690476108
2003-10-31,0,-0.06155929406377254,-0.019810975044563313,-0.0006516746130951878,0.02457732440476189
2003-11-28,0,0.001479522571891807,-0.006304357397504461,0.011922316964285713,-0.013815678571428573
2003-12-31,0,0.00980828066676613,-0.022975001782531184,-0.01574541071428572,0.030137133928571414
2004-01-30,0,0.05705796910634113,0.0020407415329768063,-0.004119087053571455,-0.023887482142857127
2004-02-27,0,0.056993349435083204,0.005095894830659523,-0.016901696428571426,-0.024104336309523865
2004-03-31,0,0.012816804653816889,0.0029955757575757577,-0.004293694196428572,-0.00899526785714287
2004-04-30,0,-0.11617626046090686,-0.009167270053475906,0.0009661718750000148,0.008819989583333339
2004-05-31,0,-0.04377209171863135,0.003932157754010702,-0.012005872767857145,-0.002497430059523809
2004-06-30,0,-0.13514176161349772,-0.0075496782531193855,-0.007295401785714342,0.00154906696428568
2004-07-30,0,-0.028721437759750626,-0.01978514171122995,-0.010321484375000006,0.01614851934523809
2004-08-31,0,-0.06860146001589737,-0.0014262959001782457,0.0036302366071428514,-0.0035637678571428712
2004-09-30,0,0.03177732913420854,-0.007708898395721935,-0.009776142857142851,0.008955677083333335
2004-10-29,0,-0.07976899640796535,-0.015880769162210314,-0.034926863839285734,0.020933751488095256
2004-11-30,0,0.0050615752167919225,0.012834639928698745,-0.003016578125000011,-0.028385559523809535
2004-12-31,0,-0.09309780695764905,-0.006114487522281626,-0.016977618303571394,0.012059802083333324
2005-01-31,0,-0.08842680852296717,0.000852609625668442,-0.013595919642857153,-0.0005845119047619078
2005-02-28,0,0.07576126475174913,-0.002635088235294134,0.0004790312499999949,-0.008352328869047602
2005-03-31,0,-0.13283767738899735,-0.011543778966131875,-0.019155410714285778,0.012909227678571427
2005-04-29,0,-0.057541496266321025,-0.026042113190730812,-0.01775668080357142,0.026303825892857118
2005-05-31,0,-0.08903259739653205,0.011868919786096258,0.005028718750000005,-0.02515953869047619
2005-06-30,0,-0.01174275590738242,-0.005349743315508024,-0.012315272321428572,0.00852049404761905
2005-07-29,0,-0.046735108241785984,-0.018185918003565074,-0.027409540178571456,0.02413013244047618
2005-08-31,0,0.07551658493100995,0.0183944465240642,-0.006908930803571316,-0.04682520238095238
2005-09-30,0,-0.018003418781936488,-0.0008153707664884191,-0.03063393526785716,-0.0008292202380952377
2005-10-31,0,-0.07775345326851184,-0.005955416221033856,-0.018248723214285705,0.006234610119047627
2005-11-30,0,-0.020428485838121437,0.006275083778966129,0.005003361607142851,-0.016397263392857145
2005-12-30,0,0.022596546190432908,-0.013202075757575748,-0.007427678571428565,0.008382447916666669
2006-01-25,0,0.06513236688464794,-0.0159476889483066,0.008224421517857126,0.010770611607142894
2006-02-28,0,0.008950484320926454,0.002023397504456327,0.00028808705357143084,-0.017389696428571407
2006-03-31,0,-0.0020852362158807836,-0.013231172014260249,-0.015752441964285706,0.023040447916666665
